"","sample_id","sample_date","nutrient","rollmean"
"1","Q1",1988-01-05,"k",0.806363636363636
"2","Q1",1988-01-12,"k",0.805833333333333
"3","Q1",1988-01-19,"k",0.803076923076923
"4","Q1",1988-01-26,"k",0.806428571428571
"5","Q1",1988-01-29,"k",0.806428571428571
"6","Q1",1988-01-29,"k",0.806428571428571
"7","Q1",1988-01-29,"k",0.806428571428571
"8","Q1",1988-01-29,"k",0.806428571428571
"9","Q1",1988-01-29,"k",0.806428571428571
"10","Q1",1988-02-02,"k",0.806666666666667
"11","Q1",1988-02-02,"k",0.806666666666667
"12","Q1",1988-02-03,"k",0.806666666666667
"13","Q1",1988-02-04,"k",0.806666666666667
"14","Q1",1988-02-09,"k",0.789333333333333
"15","Q1",1988-02-10,"k",0.789333333333333
"16","Q1",1988-02-16,"k",0.784666666666667
"17","Q1",1988-02-23,"k",0.783333333333333
"18","Q1",1988-03-01,"k",0.891176470588235
"19","Q1",1988-03-08,"k",0.90125
"20","Q1",1988-03-15,"k",0.895625
"21","Q1",1988-03-23,"k",0.900625
"22","Q1",1988-03-29,"k",0.89375
"23","Q1",1988-03-29,"k",0.89375
"24","Q1",1988-03-29,"k",0.89375
"25","Q1",1988-03-29,"k",0.89375
"26","Q1",1988-03-29,"k",0.89375
"27","Q1",1988-03-29,"k",0.89375
"28","Q1",1988-03-29,"k",0.89375
"29","Q1",1988-03-29,"k",0.89375
"30","Q1",1988-04-05,"k",0.89
"31","Q1",1988-04-12,"k",0.948823529411765
"32","Q1",1988-04-19,"k",0.964375
"33","Q1",1988-04-26,"k",0.965625
"34","Q1",1988-05-03,"k",0.878888888888889
"35","Q1",1988-05-10,"k",0.876666666666667
"36","Q1",1988-05-10,"k",0.876666666666667
"37","Q1",1988-05-10,"k",0.876666666666667
"38","Q1",1988-05-10,"k",0.876666666666667
"39","Q1",1988-05-10,"k",0.876666666666667
"40","Q1",1988-05-17,"k",0.885555555555556
"41","Q1",1988-05-24,"k",0.881111111111111
"42","Q1",1988-05-31,"k",0.877777777777778
"43","Q1",1988-06-07,"k",0.881111111111111
"44","Q1",1988-06-14,"k",0.791428571428571
"45","Q1",1988-06-21,"k",0.787777777777778
"46","Q1",1988-06-28,"k",0.783333333333333
"47","Q1",1988-07-05,"k",0.764444444444444
"48","Q1",1988-07-12,"k",0.765555555555556
"49","Q1",1988-07-19,"k",0.771111111111111
"50","Q1",1988-07-22,"k",0.771111111111111
"51","Q1",1988-07-26,"k",0.762307692307692
"52","Q1",1988-07-26,"k",0.762307692307692
"53","Q1",1988-08-02,"k",0.767692307692308
"54","Q1",1988-08-09,"k",0.760769230769231
"55","Q1",1988-08-16,"k",0.762857142857143
"56","Q1",1988-08-23,"k",0.76
"57","Q1",1988-08-24,"k",0.76
"58","Q1",1988-08-24,"k",0.76
