"","sample_id","sample_date","nutrient","value"
"1","Q1","1988-01-05","k",0.76
"2","Q1","1988-01-05","no3_n",132
"3","Q1","1988-01-05","mg",2.66
"4","Q1","1988-01-05","ca",4.06
"5","Q1","1988-01-05","nh4_n",19
"6","Q1","1988-01-12","k",0.77
"7","Q1","1988-01-12","no3_n",134
"8","Q1","1988-01-12","mg",2.61
"9","Q1","1988-01-12","ca",4.08
"10","Q1","1988-01-12","nh4_n",18
"11","Q1","1988-01-19","k",0.75
"12","Q1","1988-01-19","no3_n",125
"13","Q1","1988-01-19","mg",2.67
"14","Q1","1988-01-19","ca",4.16
"15","Q1","1988-01-19","nh4_n",21
"16","Q1","1988-01-26","k",0.74
"17","Q1","1988-01-26","no3_n",123
"18","Q1","1988-01-26","mg",2.85
"19","Q1","1988-01-26","ca",4.41
"20","Q1","1988-01-26","nh4_n",14
"21","Q1","1988-01-29","k",0.86
"22","Q1","1988-01-29","no3_n",77
"23","Q1","1988-01-29","mg",1.48
"24","Q1","1988-01-29","ca",2.4
"25","Q1","1988-01-29","nh4_n",21
"26","Q1","1988-01-29","k",0.83
"27","Q1","1988-01-29","no3_n",81
"28","Q1","1988-01-29","mg",1.35
"29","Q1","1988-01-29","ca",2.06
"30","Q1","1988-01-29","nh4_n",31
"31","Q1","1988-01-29","k",0.91
"32","Q1","1988-01-29","no3_n",281
"33","Q1","1988-01-29","mg",1.64
"34","Q1","1988-01-29","ca",2.65
"35","Q1","1988-01-29","nh4_n",27
"36","Q1","1988-01-29","k",0.84
"37","Q1","1988-01-29","no3_n",267
"38","Q1","1988-01-29","mg",1.41
"39","Q1","1988-01-29","ca",2.63
"40","Q1","1988-01-29","nh4_n",24
"41","Q1","1988-01-29","k",0.86
"42","Q1","1988-01-29","no3_n",242
"43","Q1","1988-01-29","mg",1.59
"44","Q1","1988-01-29","ca",2.67
"45","Q1","1988-01-29","nh4_n",21
"46","Q1","1988-02-02","k",0.76
"47","Q1","1988-02-02","no3_n",138
"48","Q1","1988-02-02","mg",1.71
"49","Q1","1988-02-02","ca",2.78
"50","Q1","1988-02-02","nh4_n",80
"51","Q1","1988-02-02","k",0.79
"52","Q1","1988-02-02","no3_n",168
"53","Q1","1988-02-02","mg",1.62
"54","Q1","1988-02-02","ca",2.57
"55","Q1","1988-02-02","nh4_n",17
"56","Q1","1988-02-03","k",NA
"57","Q1","1988-02-03","no3_n",NA
"58","Q1","1988-02-03","mg",NA
"59","Q1","1988-02-03","ca",NA
"60","Q1","1988-02-03","nh4_n",NA
"61","Q1","1988-02-04","k",NA
"62","Q1","1988-02-04","no3_n",NA
"63","Q1","1988-02-04","mg",NA
"64","Q1","1988-02-04","ca",NA
"65","Q1","1988-02-04","nh4_n",NA
"66","Q1","1988-02-09","k",0.8
"67","Q1","1988-02-09","no3_n",149
"68","Q1","1988-02-09","mg",2.73
"69","Q1","1988-02-09","ca",4.09
"70","Q1","1988-02-09","nh4_n",54
"71","Q1","1988-02-10","k",NA
"72","Q1","1988-02-10","no3_n",NA
"73","Q1","1988-02-10","mg",NA
"74","Q1","1988-02-10","ca",NA
"75","Q1","1988-02-10","nh4_n",NA
"76","Q1","1988-02-16","k",0.77
"77","Q1","1988-02-16","no3_n",113
"78","Q1","1988-02-16","mg",2.67
"79","Q1","1988-02-16","ca",4.04
"80","Q1","1988-02-16","nh4_n",20
"81","Q1","1988-02-23","k",0.85
"82","Q1","1988-02-23","no3_n",152
"83","Q1","1988-02-23","mg",2.94
"84","Q1","1988-02-23","ca",4.39
"85","Q1","1988-02-23","nh4_n",28
"86","Q1","1988-03-01","k",0.81
"87","Q1","1988-03-01","no3_n",144
"88","Q1","1988-03-01","mg",2.96
"89","Q1","1988-03-01","ca",4.31
"90","Q1","1988-03-01","nh4_n",18
"91","Q1","1988-03-08","k",0.5
"92","Q1","1988-03-08","no3_n",144
"93","Q1","1988-03-08","mg",2.12
"94","Q1","1988-03-08","ca",3.89
"95","Q1","1988-03-08","nh4_n",25
"96","Q1","1988-03-15","k",0.7
"97","Q1","1988-03-15","no3_n",148
"98","Q1","1988-03-15","mg",2.72
"99","Q1","1988-03-15","ca",4.02
"100","Q1","1988-03-15","nh4_n",34
"101","Q1","1988-03-23","k",0.73
"102","Q1","1988-03-23","no3_n",144
"103","Q1","1988-03-23","mg",2.76
"104","Q1","1988-03-23","ca",4.05
"105","Q1","1988-03-23","nh4_n",13
"106","Q1","1988-03-29","k",0.97
"107","Q1","1988-03-29","no3_n",291
"108","Q1","1988-03-29","mg",1.48
"109","Q1","1988-03-29","ca",3.16
"110","Q1","1988-03-29","nh4_n",8
"111","Q1","1988-03-29","k",1.13
"112","Q1","1988-03-29","no3_n",283
"113","Q1","1988-03-29","mg",1.47
"114","Q1","1988-03-29","ca",3.22
"115","Q1","1988-03-29","nh4_n",7
"116","Q1","1988-03-29","k",0.86
"117","Q1","1988-03-29","no3_n",239
"118","Q1","1988-03-29","mg",1.7
"119","Q1","1988-03-29","ca",2.72
"120","Q1","1988-03-29","nh4_n",10
"121","Q1","1988-03-29","k",1.07
"122","Q1","1988-03-29","no3_n",291
"123","Q1","1988-03-29","mg",1.09
"124","Q1","1988-03-29","ca",1.31
"125","Q1","1988-03-29","nh4_n",20
"126","Q1","1988-03-29","k",1.07
"127","Q1","1988-03-29","no3_n",300
"128","Q1","1988-03-29","mg",1.11
"129","Q1","1988-03-29","ca",1.29
"130","Q1","1988-03-29","nh4_n",8
"131","Q1","1988-03-29","k",1.17
"132","Q1","1988-03-29","no3_n",261
"133","Q1","1988-03-29","mg",1.49
"134","Q1","1988-03-29","ca",3.7
"135","Q1","1988-03-29","nh4_n",13
"136","Q1","1988-03-29","k",1.11
"137","Q1","1988-03-29","no3_n",265
"138","Q1","1988-03-29","mg",1.16
"139","Q1","1988-03-29","ca",1.38
"140","Q1","1988-03-29","nh4_n",31
"141","Q1","1988-03-29","k",1.06
"142","Q1","1988-03-29","no3_n",252
"143","Q1","1988-03-29","mg",1.19
"144","Q1","1988-03-29","ca",1.34
"145","Q1","1988-03-29","nh4_n",16
"146","Q1","1988-04-05","k",0.82
"147","Q1","1988-04-05","no3_n",135
"148","Q1","1988-04-05","mg",2.31
"149","Q1","1988-04-05","ca",2.75
"150","Q1","1988-04-05","nh4_n",26
"151","Q1","1988-04-12","k",0.71
"152","Q1","1988-04-12","no3_n",141
"153","Q1","1988-04-12","mg",2.77
"154","Q1","1988-04-12","ca",4.22
"155","Q1","1988-04-12","nh4_n",34
"156","Q1","1988-04-19","k",0.85
"157","Q1","1988-04-19","no3_n",150
"158","Q1","1988-04-19","mg",2.57
"159","Q1","1988-04-19","ca",3.82
"160","Q1","1988-04-19","nh4_n",16
"161","Q1","1988-04-26","k",0.74
"162","Q1","1988-04-26","no3_n",142
"163","Q1","1988-04-26","mg",2.87
"164","Q1","1988-04-26","ca",4.3
"165","Q1","1988-04-26","nh4_n",28
"166","Q1","1988-05-03","k",0.75
"167","Q1","1988-05-03","no3_n",139
"168","Q1","1988-05-03","mg",2.82
"169","Q1","1988-05-03","ca",4.18
"170","Q1","1988-05-03","nh4_n",65
"171","Q1","1988-05-10","k",1.19
"172","Q1","1988-05-10","no3_n",142
"173","Q1","1988-05-10","mg",2.24
"174","Q1","1988-05-10","ca",3.6
"175","Q1","1988-05-10","nh4_n",69
"176","Q1","1988-05-10","k",NA
"177","Q1","1988-05-10","no3_n",NA
"178","Q1","1988-05-10","mg",NA
"179","Q1","1988-05-10","ca",NA
"180","Q1","1988-05-10","nh4_n",NA
"181","Q1","1988-05-10","k",NA
"182","Q1","1988-05-10","no3_n",NA
"183","Q1","1988-05-10","mg",NA
"184","Q1","1988-05-10","ca",NA
"185","Q1","1988-05-10","nh4_n",NA
"186","Q1","1988-05-10","k",NA
"187","Q1","1988-05-10","no3_n",NA
"188","Q1","1988-05-10","mg",NA
"189","Q1","1988-05-10","ca",NA
"190","Q1","1988-05-10","nh4_n",NA
"191","Q1","1988-05-10","k",1.2
"192","Q1","1988-05-10","no3_n",203
"193","Q1","1988-05-10","mg",1.44
"194","Q1","1988-05-10","ca",2.58
"195","Q1","1988-05-10","nh4_n",10
"196","Q1","1988-05-17","k",NA
"197","Q1","1988-05-17","no3_n",148
"198","Q1","1988-05-17","mg",1.12
"199","Q1","1988-05-17","ca",1.12
"200","Q1","1988-05-17","nh4_n",237
"201","Q1","1988-05-24","k",0.75
"202","Q1","1988-05-24","no3_n",149
"203","Q1","1988-05-24","mg",1.2
"204","Q1","1988-05-24","ca",1.34
"205","Q1","1988-05-24","nh4_n",63
"206","Q1","1988-05-31","k",0.9
"207","Q1","1988-05-31","no3_n",156
"208","Q1","1988-05-31","mg",2.57
"209","Q1","1988-05-31","ca",3.16
"210","Q1","1988-05-31","nh4_n",61
"211","Q1","1988-06-07","k",0.8
"212","Q1","1988-06-07","no3_n",147
"213","Q1","1988-06-07","mg",2.91
"214","Q1","1988-06-07","ca",3.58
"215","Q1","1988-06-07","nh4_n",59
"216","Q1","1988-06-14","k",0.79
"217","Q1","1988-06-14","no3_n",NA
"218","Q1","1988-06-14","mg",2.85
"219","Q1","1988-06-14","ca",3.53
"220","Q1","1988-06-14","nh4_n",68
"221","Q1","1988-06-21","k",0.81
"222","Q1","1988-06-21","no3_n",NA
"223","Q1","1988-06-21","mg",1.95
"224","Q1","1988-06-21","ca",2.66
"225","Q1","1988-06-21","nh4_n",158
"226","Q1","1988-06-28","k",0.71
"227","Q1","1988-06-28","no3_n",NA
"228","Q1","1988-06-28","mg",2.71
"229","Q1","1988-06-28","ca",4.87
"230","Q1","1988-06-28","nh4_n",NA
"231","Q1","1988-07-05","k",0.78
"232","Q1","1988-07-05","no3_n",NA
"233","Q1","1988-07-05","mg",2.84
"234","Q1","1988-07-05","ca",3.41
"235","Q1","1988-07-05","nh4_n",NA
"236","Q1","1988-07-12","k",NA
"237","Q1","1988-07-12","no3_n",NA
"238","Q1","1988-07-12","mg",0.54
